asin,title,brand,parent_asin,category_tree,product_group,size,color,model,variation_count,sales_rank_current,sales_rank_avg30,sales_rank_avg90,sales_rank_avg180,sales_rank_drops30,sales_rank_drops90,sales_rank_drops180,sales_rank_drops365,new_price_current,new_price_avg30,bb_price,competitive_price_threshold,bb_is_amazon,bb_is_fba,our_bb_pct,n_unique_bb_sellers,total_offer_count,monthly_sold_badge,monthly_sold_delta90,monthly_sold_last3,review_count,rating,oos_amazon_30,oos_amazon_90,sr_history_points,sr_min,sr_max,sr_median,listed_since_keepa_min,data_pulled_at
B087LZR1BM,"Nike Men's Soccer Park III Shorts (Red, Large)",Nike,B08M4GQ78V,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shorts",Apparel,Large,Red,BV6855,67,3893,7958,12893,12893,51,110,260,795,28.96,27.56,29.96,,False,True,4.7,59,6,,0,50|100|50,8846,4.2,1,1,8529,530,2291830,3678,4897428,2026-03-08
B087M3MJ1L,Nike Men's Soccer Park III Shorts (Large) Black,Nike,B08M4GQ78V,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shorts",Apparel,Large,Black,BV6855,67,3891,7973,12222,12222,52,107,254,642,24.0,23.52,24.0,,False,True,5.3,147,11,300,-4,200|200|300,8846,4.2,1,1,9932,544,802085,3836,4897428,2026-03-08
B087M3RDVK,Nike Men's Soccer Park III Shorts (X-Large) Black,Nike,B08M4GQ78V,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shorts",Apparel,X-Large,Black,BV6857,67,3893,7973,12160,12160,51,107,282,798,17.99,18.74,18.99,22.96,False,True,4.4,117,15,,0,100|200|100,8846,4.2,1,1,7629,544,808331,3893,4897428,2026-03-08
B088XWQ8TH,Nike Womens Park III Shorts Black M,Nike,B08ZJ26P1P,"Clothing, Shoes & Jewelry > Women > Clothing > Active > Active Shorts",Apparel,Medium,Black,BV6862,62,21334,26352,31330,31330,12,43,88,272,25.96,24.09,25.96,44.99,False,True,2.7,135,11,200,6,200|100|200,1386,4.4,1,1,7819,3764,1163274,28626,4936092,2026-03-08
B088Y3W864,"Nike Women's Soccer Dri-FIT Park III Shorts (Black, Small)",Nike,B08ZJ26P1P,"Clothing, Shoes & Jewelry > Women > Clothing > Active > Active Shorts",Apparel,Small,Black,BV6862,62,21334,26500,31415,31415,14,45,89,270,26.37,25.35,26.37,44.99,False,True,3.6,108,4,100,21,300|200|100,1386,4.4,1,1,7425,3472,1183041,28370,4936092,2026-03-08
B089VF7L7J,Nike Women's Hoodie Dark Grey nkCJ1789 010 (Medium),Nike,B0CL5H6S5W,"Clothing, Shoes & Jewelry > Women > Clothing > Active > Active Hoodies",Apparel,Medium,Black,CJ1789,80,9516,10178,6731,6731,66,210,497,702,49.79,47.67,49.79,,False,True,3.2,53,15,100,78,300|200|100,6033,4.5,1,1,8784,577,935146,8253,4961220,2026-03-08
B089VH8H6Q,Nike Club Fleece Pullover Hoodie With Custom Screenprint,Nike,B0GFGTDH8M,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,Large,Black,CJ1611,20,24639,13506,10787,10787,25,99,318,689,44.95,44.69,48.99,,False,True,4.2,221,17,400,76,600|500|400,2643,4.7,1,1,9121,64,1016174,2708,4963640,2026-03-08
B089VNGSG5,"Nike Women's Hoodie (Black, Large)",Nike,B0CL5H6S5W,"Clothing, Shoes & Jewelry > Women > Clothing > Active > Active Hoodies",Apparel,Large,Black,CJ1789,80,9517,9791,6604,6604,41,194,473,657,38.99,42.85,38.99,,False,True,3.2,46,13,100,81,100|200|100,6033,4.5,1,1,7948,577,10126732,7767,4961220,2026-03-08
B089VPYCKT,Nike Men's Hoodie Black/White nkCJ1611 010 (XX-Large),Nike,B0GFGTDH8M,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,XX-Large,Black,CJ1611,20,24639,13533,11066,11066,22,84,239,470,46.99,52.97,46.99,46.99,False,True,6.0,113,10,50,92,50|100|50,519,4.8,1,1,7016,64,261726,4198,4963640,2026-03-08
B089VTHMJH,Nike Club Fleece Pullover Hoodie CJ1611,Nike,B0GFGTDH8M,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Hoodies",Apparel,X-Large,Black,CJ1611,20,24641,13868,11305,11305,28,102,290,567,44.5,44.13,44.5,46.99,False,True,5.0,208,18,500,76,300|400|500,959,4.7,1,1,8530,65,1044761,4037,4963640,2026-03-08
B08B43ZRPD,Nike Park III Youth Shorts Black YXS,Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,X-Small,Black,BV6866,57,4476,6664,9416,9416,29,104,287,650,21.86,24.17,21.86,19.99,False,True,4.7,45,4,,0,50|100|50,1861,4.4,1,1,5557,1143,5442625,7810,5135972,2026-03-08
B08B44H3DY,Nike Park III Youth Shorts Royal Blue YXL,Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,X-Large,Royal Blue,BV6866,57,4476,6676,9409,9409,70,162,373,842,28.0,26.14,28.0,31.99,False,True,10.7,29,5,,99,100|50|50,1861,4.4,1,1,6004,1143,126928,6317,4969024,2026-03-08
B08B44QBHS,"Nike Youth Park III Shorts (Gray, Small, s)",Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,Small,Grey,BV6866,57,4476,6719,9474,9474,59,155,355,713,26.4,26.39,26.4,31.99,False,True,8.6,36,9,,0,50|100|50,1861,4.4,1,1,5460,1143,710154,6647,4969024,2026-03-08
B08B44SHQS,Nike Park III Youth Shorts Grey YM,Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,Medium,Grey,BV6866,57,4457,6910,9503,9503,22,99,266,626,22.75,24.37,22.75,31.99,False,True,5.3,44,12,50,23,100|50|50,1861,4.4,1,1,5707,1143,619927,6940,4969024,2026-03-08
B08B45BKBD,"Nike Youth Park III Shorts (Turquoise, Large)",Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,Large,Turquoise,BV6866,57,4475,6648,9381,9381,48,141,360,817,22.0,24.06,22.0,31.99,False,True,7.7,30,6,,0,50|100|50,1861,4.4,1,1,5901,1143,863484,6564,4969024,2026-03-08
B08B45HVTV,"Nike Youth Park III Shorts (Turquoise, Medium)",Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,Medium,Turquoise,BV6866,57,4476,6704,9461,9461,69,166,413,890,24.61,25.03,24.61,31.99,False,True,6.0,39,9,,0,50|100|50,1861,4.4,1,1,5623,1143,2848619,6174,4969024,2026-03-08
B08B45Q4SQ,"Nike Youth Park III Shorts (Gray, X-Large)",Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,X-Large,Grey,BV6866,57,4475,6652,9431,9431,65,163,385,792,27.28,28.26,27.28,31.99,False,True,5.3,29,5,50,0,50|50|50,1861,4.4,1,1,5828,1143,2822688,7606,4969024,2026-03-08
B08B46LPFS,"Nike Youth Park III Shorts (Gray, Large)",Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,Large,Grey,BV6866,57,4476,6705,9425,9425,71,172,403,857,25.52,25.51,25.52,31.99,False,True,6.2,45,8,100,-45,100|50|100,1861,4.4,1,1,6368,1143,441949,7170,4969024,2026-03-08
B08CBKC4B7,Nike Park III Shorts (Small) White/Black,Nike,B08M4GQ78V,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shorts",Apparel,Small,White/Black,BV6857,67,3893,8078,12169,12169,24,76,220,651,25.89,24.03,,22.96,False,True,3.7,90,5,,0,200|100|50,8843,4.2,1,1,6197,530,798293,3489,4999288,2026-03-08
B08CBL66JX,Nike Park III Shorts (X-Large) White/Black,Nike,B08M4GQ78V,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shorts",Apparel,X-Large,White/Black,BV6857,67,3893,7949,12135,12135,70,121,270,723,23.23,22.9,23.23,23.81,False,True,9.7,49,7,,0,50|100|50,8843,4.2,1,1,6975,530,334749,4029,4999288,2026-03-08
B08CBL8YDB,Nike Park III Shorts (Medium) White/Black,Nike,B08M4GQ78V,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shorts",Apparel,Medium,White/Black,BV6857,67,3893,7962,12199,12199,58,107,240,798,25.98,25.22,,23.81,False,True,5.8,85,3,,99,200|100|50,8843,4.2,1,1,6044,530,594402,3319,4999288,2026-03-08
B08CBLQ7JM,Nike Park III Shorts (Large) White/Black,Nike,B08M4GQ78V,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shorts",Apparel,Large,White/Black,BV6857,67,3891,8093,12732,12732,29,72,182,453,28.98,25.17,,22.96,False,False,5.3,85,5,,99,200|100|100,8846,4.2,1,1,5326,544,335845,3345,4999288,2026-03-08
B08CFX53TS,Nike Park III Youth Shorts White YS,Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Girls > Clothing > Active > Active Shorts",Apparel,Small,White/Black,BV6866,57,4475,6756,9404,9404,28,95,267,495,24.0,23.96,24.0,,False,True,8.0,43,9,,99,200|100|50,1861,4.4,1,1,4561,1143,1012842,7752,5003728,2026-03-08
B08CG4MY9X,"Nike Youth Park III Shorts (White/Black, Medium)",Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,Medium,White/Black,BV6866,57,4476,6697,9438,9438,26,90,289,652,28.0,29.88,28.0,,False,True,5.4,75,8,,0,300|200|100,1861,4.4,1,1,7856,1143,414939,7742,5003728,2026-03-08
B08CG4TBJF,"Nike Youth Park III Shorts (White/Black, X-Large)",Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,X-Large,White/Black,BV6866,57,4475,6702,9388,9388,58,149,362,662,23.0,25.73,23.0,,False,True,9.3,50,9,,0,200|100|50,1861,4.4,1,1,6159,1143,362521,7325,5003728,2026-03-08
B08CHLBHFW,"Nike Youth Park III Shorts (Navy/White, Medium)",Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,Medium,Navy/White,BV6866,57,4476,6689,9400,9400,45,141,393,830,28.98,26.07,29.99,31.99,False,True,5.5,61,9,,0,300|200|100,1861,4.4,1,1,6814,1143,172416,6926,5100096,2026-03-08
B08CHLWWFS,"Nike Youth Park III Shorts (Navy/White, X-Large)",Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,X-Large,Navy/White,BV6866,57,4475,6701,9404,9404,99,206,444,890,28.98,25.3,29.99,31.99,False,True,6.3,41,4,100,-75,50|50|100,1861,4.4,1,1,6896,1143,138297,6619,5004916,2026-03-08
B08CHMJBX6,"Nike Youth Park III Shorts (Navy/White, Small)",Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,Small,Navy/White,BV6866,57,4475,6677,9393,9393,91,202,477,981,24.99,25.1,25.51,31.99,False,True,4.6,49,8,50,0,200|100|50,1861,4.4,1,1,6584,1143,145190,6811,5004916,2026-03-08
B08CHN278L,"Nike Youth Park III Shorts (Navy/White, Large)",Nike,B08JS852ZS,"Clothing, Shoes & Jewelry > Boys > Clothing > Active > Active Shorts",Apparel,Large,Navy/White,BV6866,57,4476,6712,9405,9405,69,172,408,924,24.58,24.26,24.58,31.99,False,True,6.6,58,6,,99,100|200|100,1861,4.4,1,1,8238,1143,127903,7099,5004916,2026-03-08
