asin,units_30d,CES,Ensemble,LSTM,LightGBM,MA7,NGBoost,NHITS,PatchTST,SeasonalNaive,XGBoost
B089VH8H6Q,39,66.62778946757317,66.98795771918662,133.4338832,57.70962204015399,42.85714285714286,57.19146541533506,65.1275958,45.7410805,40.0,43.084267258644104
B089VNGSG5,117,121.57310923933983,78.00406638998808,114.5080311,85.99850744244631,81.42857142857143,90.53939070598258,41.6742357,33.474470414,83.0,58.26072025299072
B089VPYCKT,111,7.768190413713454,39.804411977253494,139.5629648,35.032366402199415,38.57142857142858,31.411191692754034,42.13375482,11.068803800000001,40.0,11.653610944747925
B089VTHMJH,445,67.11599446833134,151.58489576015953,481.0146205,86.93422369571978,85.71428571428572,98.53343227829662,190.1575543,35.436688170000004,88.0,101.90176177024841
B08B43ZRPD,50,51.368403762578964,70.26045602850225,20.55164861,85.78521333584577,68.57142857142857,92.90020722742237,85.5458718,94.6896926,68.0,60.982155323028564
B08B44H3DY,22,41.119631678797305,33.2906608560426,9.48366703,54.67197470957124,30.0,38.41162269636169,29.36887785,22.42499298,28.0,37.55385899543762
B08B44QBHS,3,0.7091552205383773,6.0496691257793875,1.182261326,26.84926717409163,0.0,7.808300595174969,0.11278663566,0.26138943410000004,0.0,5.42452348768711
B08B44SHQS,57,43.52696010097861,54.01678515340351,24.5616402,80.98535481464448,68.57142857142857,81.85805392326571,42.1363353,57.0315171,70.0,48.017634868621826
B08B45BKBD,31,13.588918399909744,20.041803087098163,10.815259381,32.88684675916508,8.571428571428571,28.317431054289106,16.94473415,27.46240685,8.0,10.277024939656258
B08B45HVTV,17,6.88430401450023,9.97403649261867,9.82948186,29.32845683901161,17.142857142857142,8.657210758573315,1.515325961,6.063994945,19.0,7.539481118321418
B08B45Q4SQ,41,31.920865352265537,40.523983876923374,13.73278564,56.31247625188688,34.285714285714285,56.69960980361548,43.3463959,43.5480765,34.0,38.10767698287964
B08B46LPFS,24,31.66946292296052,36.61201969075364,9.81547929,55.06162958837235,42.85714285714286,56.54609426007123,32.79927964,32.52720932,43.0,37.86498284339905
B08CBKC4B7,14,5.984405994415282,11.836072810302301,18.39550622,29.425018027496364,17.142857142857142,9.208906645177647,1.237808705,10.633128277,20.0,7.967735871672629
B08CBL66JX,44,31.089075474068522,38.15258430068736,19.9024097,55.818969893195984,47.14285714285714,56.41401738712128,28.0165436,38.11906895,49.0,37.70800483226776
B08CBL8YDB,30,66.40486094355583,48.21557849122336,24.2508053,59.47577995629311,81.42857142857143,58.16075311841122,40.8550439,39.336305,82.0,49.0255012512207
B08CBLQ7JM,6,9.998833050020039,18.209524967003382,6.4910258,30.400329043800795,12.857142857142854,27.825160994208808,25.26787822,19.91226512,12.0,7.571182698011397
B08CFX53TS,18,13.97901109769009,18.818987435963493,15.13954877,33.010559604377384,21.42857142857143,28.27357023270501,9.40666452,20.75114824,22.0,11.172409415245056
B08CG4MY9X,17,26.07911044359207,27.757483159663693,10.37682104,35.415306948831045,30.0,30.836560917821075,25.0940799,30.93989969,31.0,35.56060314178467
B08CG4TBJF,43,40.440012227743864,47.953028927027894,19.94476397,60.191904282121854,42.85714285714286,81.59563138252395,37.5700366,54.3411287,42.0,41.587725043296814
B08CHLBHFW,116,87.61826948821545,93.13491763798137,75.7144297,107.510248074063,111.4285714285714,110.5615589368477,83.1260954,99.85535,114.0,87.55847156047821
B08CHLWWFS,83,80.31386383622885,87.66824598523107,47.90452856,100.38887139569958,102.85714285714285,109.71824824038784,107.0932011,92.8013119,102.0,75.45769762992859
B08CHMJBX6,11,11.150354678742588,16.79694569631891,10.69452637,30.174880330949783,17.142857142857142,27.89494391402711,11.25632732,17.75786828,19.0,8.64971874654293
